title,type,post_dttm,-1,0,1
"Цены в России за 2024 год выросли на 9,52%",economic,2025-01-15,0.012538652831490225,0.25038408238251936,0.7370772647859904
Лукашенко призвал не тратить инвестиции на «барахло»,economic,2025-01-15,0.01081968227365753,0.8932918120188708,0.09588850570747173
РСПП предложил приоритет выкупа экс-владельцам изъятых активов,economic,2025-01-15,0.018847234409337547,0.7034415248215762,0.2777112407690862
Путин поручил рассмотреть вопрос о сроках давности при деприватизации,economic,2025-01-15,0.009407648198250827,0.8792815001521476,0.11131085164960165
Юристы оценили выгодность ставок НДС для бизнеса на «упрощенке»,economic,2025-01-15,0.00978782111069997,0.09607312672249475,0.8941390521668053
"Мишустин заявил, что Россия смогла адаптироваться к санкциям",economic,2025-01-15,0.012538705994542926,0.11480314597406568,0.8726581480313913
Reuters узнал об остановке более 60 нефтяных танкеров после санкций США,economic,2025-01-14,0.02037926238992426,0.5479303790845172,0.4316903585255584
Bloomberg узнал о срочной скупке нефти Китаем из-за санкций против России,economic,2025-01-14,0.016041637038362512,0.8987532203273971,0.08520514263424042
Власти ужесточат наказание за слив закрытых данных банков и таможни,economic,2025-01-13,0.02025997874639942,0.6505952691649276,0.32914475208867305
Куда и сколько качает газа попавшая под атаку БПЛА ВСУ станция «Русская»,economic,2025-01-13,0.008822289656101134,0.9422873733466061,0.04889033699729279
ЦБ исключил заморозку вкладов для борьбы с инфляцией,economic,2025-01-13,0.013215998629703032,0.14196853655577288,0.8448154648145242
Товарооборот между Китаем и Россией обновил рекорд,economic,2025-01-13,0.015507438154284618,0.3689174106991474,0.6155751511465679
США увеличили импорт комплектующих для самолетов из России,economic,2025-01-13,0.0063258231818605825,0.9304002883145063,0.0632738885036331
Аналитики назвали лидирующий сектор по росту средних зарплат,economic,2025-01-13,0.012753667915505916,0.07486274992112502,0.9123835821633691
Британский химический гигант предупредил о гибели промышленности страны,economic,2025-01-13,0.022971135958549337,0.6012479785795116,0.375780885461939
Власти Китая начали платить по долгам квартирами,economic,2025-01-13,0.009194239541041727,0.9241010429448305,0.06670471751412761
Росстат оценил разрыв в зарплатах мужчин и женщин в России,economic,2025-01-12,0.01431309449645501,0.28585531780161616,0.6998315877019289
США увеличили импорт шоколада и какао-продуктов из России в три раза,economic,2025-01-12,0.006198187347391117,0.9298704245568082,0.06393138809580051
"WSJ узнала об экспорте Ираном нефти, переданной КНР на хранение в 2018-м",economic,2025-01-12,0.009687201150762987,0.11087775596856356,0.8794350428806735
Азербайджан приостановил поставки газа в Сербию,economic,2025-01-11,0.011137160942734797,0.9190374736111063,0.06982536544615894
